,k,akurasi,presisi,recall
1,1.0,69.67,59.330000000000005,58.93000000000001
2,2.0,72.33000000000001,63.57000000000001,59.11
3,3.0,74.67,64.38000000000001,61.92999999999999
4,4.0,76.0,68.81,61.27
5,5.0,72.33000000000001,63.029999999999994,56.71000000000001
6,6.0,76.33,69.28999999999999,60.72
7,7.0,73.0,63.77,56.599999999999994
8,8.0,75.0,68.13,57.989999999999995
9,9.0,74.67,67.69,57.02
10,10.0,75.67,69.5,59.67
11,11.0,74.0,67.25,57.47
12,12.0,74.0,67.49000000000001,56.32
13,13.0,73.67,67.5,57.04
14,14.0,75.0,71.07,57.989999999999995
15,15.0,74.67,69.38,58.17
16,16.0,73.33,66.52,54.449999999999996
17,17.0,74.0,69.37,55.42
18,18.0,73.0,65.84,55.169999999999995
19,19.0,72.33000000000001,65.99000000000001,52.6
20,20.0,72.0,65.16999999999999,52.07000000000001
21,21.0,71.33,64.09,51.01
22,22.0,72.0,64.4,51.35999999999999
23,23.0,71.33,63.980000000000004,50.660000000000004
24,24.0,72.0,66.60000000000001,51.09
25,25.0,71.0,64.61,48.97
26,26.0,70.67,64.84,48.27
27,27.0,70.67,64.9,48.63
28,28.0,69.33,61.86000000000001,45.989999999999995
29,29.0,69.67,62.739999999999995,46.52
30,30.0,70.0,63.53,46.78
31,31.0,70.33,65.02,47.22
32,32.0,70.0,64.2,46.69
33,33.0,70.67,66.60000000000001,47.12
34,34.0,71.0,71.53,46.94
35,35.0,71.0,70.81,46.67
36,36.0,69.33,64.4,43.76
37,37.0,69.33,64.33,44.379999999999995
38,38.0,70.0,70.15,43.84
39,39.0,69.67,66.73,43.309999999999995
40,40.0,69.67,65.56,43.309999999999995
41,41.0,69.0,64.49000000000001,41.99
42,42.0,70.0,68.19,43.480000000000004
43,43.0,69.33,66.0,42.16
44,44.0,69.33,66.0,42.16
45,45.0,69.33,66.0,42.16
46,46.0,70.0,70.7,43.480000000000004
47,47.0,70.0,70.7,43.480000000000004
48,48.0,69.0,67.54,41.63
49,49.0,68.67,66.19,41.099999999999994
50,50.0,68.67,66.19,41.099999999999994
